code,database,name,type,unit,cat_1,Exiobase name,Exiobase unit,Exiobase compartment
b157329c-4179-5491-97c4-649900954ffa,biosphere3,Amine oxide,emission,kilogram,air,,,
87883a4e-1e3e-4c9d-90c0-f1bea36f8014,biosphere3,Ammonia,emission,kilogram,air,NH3,tonnes,air
c36f35d1-e815-4c85-8686-1a2d21264a2c,biosphere3,Ammonium carbonate,emission,kilogram,air,,,
fb005c47-7b90-41f3-a5ca-f0eb11db354a,biosphere3,"Ammonium, ion",emission,kilogram,water,,,
ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,biosphere3,Aniline,emission,kilogram,air,,,
09f735ea-0a87-4e19-a660-d044db3a7118,biosphere3,Aniline,emission,kilogram,water,,,
fc840c3f-dbcd-4175-9bc2-7fba64501e39,biosphere3,Anthracene,emission,kilogram,air,,,
d30c7d00-977b-44f7-bab1-eb11c2a5c589,biosphere3,Anthracene,emission,kilogram,water,,,
9495989d-ca0f-4c30-a301-9aa8ae006676,biosphere3,Anthranilic acid,emission,kilogram,air,,,
c49fb4cd-eed0-4438-9052-9612473cdbae,biosphere3,Antimony,emission,kilogram,soil,,,
b2dc8668-86de-4207-b20e-dc81dea63c98,biosphere3,Antimony,emission,kilogram,water,,,
77927dac-dea3-429d-a434-d5a71d92c4f7,biosphere3,Antimony,emission,kilogram,air,,,
84e56689-d3d4-4f9b-831d-e4e83046ce2c,biosphere3,Antimony-122,emission,kilo Becquerel,water,,,
8cd82962-d90f-409a-b3c1-961d5365d338,biosphere3,Antimony-124,emission,kilo Becquerel,air,,,
64f81516-52e1-4ce6-a22c-84d3f7cc9a53,biosphere3,Antimony-124,emission,kilo Becquerel,water,,,
fa194dc5-ad5d-4c1e-a8f4-9fedba38fe8d,biosphere3,Antimony-125,emission,kilo Becquerel,water,,,
9314fbdb-a2c7-466b-bb6c-61c89f09df51,biosphere3,Antimony-125,emission,kilo Becquerel,air,,,
a4f6341b-1762-4222-9024-bfd91f63588f,biosphere3,"AOX, Adsorbable Organic Halogen as Cl",emission,kilogram,water,,,
38321e66-f6ab-4908-b26f-c17267559bc5,biosphere3,Argon-40,emission,kilogram,air,,,
e7edd471-6c72-42b0-8c2b-8dc9f1959c63,biosphere3,Argon-41,emission,kilo Becquerel,air,,,
fc84887d-158e-4067-80dc-9743165bd70d,biosphere3,Arsenic,emission,kilogram,soil,,,
dc6dbdaa-9f13-43a8-8af5-6603688c6ad0,biosphere3,Arsenic,emission,kilogram,air,As,tonnes,air
e1bd008f-c3c2-47f1-ab60-35e1a842acc0,biosphere3,"Arsenic, ion",emission,kilogram,water,,,
aeae7594-af69-46d2-9965-8c235b5c3fe3,biosphere3,Arsine,emission,kilogram,air,,,
17a7db69-d874-4ecd-af5d-48c98def445f,biosphere3,Barite,emission,kilogram,water,,,
99cd88f6-16b7-4b28-895c-2f42101f634b,biosphere3,Barium,emission,kilogram,soil,,,
0e1c17ae-8144-4714-a7cd-786a5480f423,biosphere3,Barium,emission,kilogram,water,,,
7e246e3a-5cff-43fc-a8e6-02d191424559,biosphere3,Barium,emission,kilogram,air,,,
2bf2965d-d5ce-5e65-ad9d-b0b636c70b20,biosphere3,Barium sulfide,emission,kilogram,water,,,
36c37c87-0dbf-4e30-83e9-288825e113b2,biosphere3,Barium-140,emission,kilo Becquerel,water,,,
634463b6-08b4-487a-b0af-4e19fbe8bca2,biosphere3,Barium-140,emission,kilo Becquerel,air,,,
4db9bb53-4bdd-4f32-a6a8-521f58c5825c,biosphere3,Benz(a)anthracene,emission,kilogram,air,,,
cb29369f-6e3a-42b2-868c-1da562585995,biosphere3,Benzal chloride,emission,kilogram,water,,,
a65f4744-f555-44cb-8534-aa5adc72d7a7,biosphere3,Benzal chloride,emission,kilogram,air,,,
9c8a834a-23d4-54e6-9ecf-2855d468f208,biosphere3,Benzaldehyde,emission,kilogram,water,,,
10d26189-a688-4859-8aa9-525e058a07f0,biosphere3,Benzaldehyde,emission,kilogram,air,,,
28999907-a8a7-45b3-857e-836495ca2aa0,biosphere3,Benzene,emission,kilogram,air,Benzene,tonnes,air
31ba993d-f8aa-44c0-bae1-b6c2081144f6,biosphere3,Benzene,emission,kilogram,water,,,
7f886a09-50b2-49c1-8fdf-d330c90556a1,biosphere3,"Benzene, chloro-",emission,kilogram,water,,,
b1c36287-329c-49f0-93c2-68246d34007c,biosphere3,"Benzene, dichloro",emission,kilogram,air,,,
88ef28f1-cfd5-44a0-ac34-01acf2db84a0,biosphere3,"Benzene, ethyl-",emission,kilogram,air,,,
3dd549fd-825c-4ceb-a5f9-2988d322dc5d,biosphere3,"Benzene, ethyl-",emission,kilogram,water,,,
04f42988-6207-4d09-a91f-155be8d27eb0,biosphere3,"Benzene, hexachloro-",emission,kilogram,air,Aldrin,tonnes,air
6a9ef0ac-2a82-492b-90f7-7f8d09995bbc,biosphere3,"Benzene, pentachloro-",emission,kilogram,air,,,
5e13c2ab-5466-4ff5-816d-702dfdf25f76,biosphere3,Benzo(a)pyrene,emission,kilogram,air,Benzo-[a]-pyrene,tonnes,air
d02904aa-dc1a-43f2-86ce-b41aa9cab47c,biosphere3,Benzo(a)pyrene,emission,kilogram,water,,,
e36fb756-d9a7-4b07-a6cb-a1d204b4c350,biosphere3,Benzo(b)fluoranthene,emission,kilogram,water,,,
35357464-0d86-4bbd-940f-7d0dd8e5df57,biosphere3,Benzo(b)fluoranthene,emission,kilogram,air,Benzo-[b]-fluoranthene,tonnes,air
0605e241-ce98-4c10-8c61-d0a1775cdcb0,biosphere3,Benzo(ghi)perylene,emission,kilogram,air,,,
cc5f1637-8aa5-442f-a8c6-43c8739944a0,biosphere3,Benzo(k)fluoranthene,emission,kilogram,air,,,
785e9314-ccf6-4229-98c5-37881d624fc9,biosphere3,Benzo(k)fluoranthene,emission,kilogram,water,,,
5934e254-ca2a-4cd8-92fa-3c9bbf1779ec,biosphere3,Benzyl alcohol,emission,kilogram,water,,,
dbf49708-ee0c-44f2-8662-5edd89ad472b,biosphere3,Beryllium,emission,kilogram,soil,,,
20557d93-2b1c-49b5-b6c0-3528a8bbc307,biosphere3,Beryllium,emission,kilogram,air,,,
8d0ca1a5-6a40-4eda-861a-a0fccdc81b19,biosphere3,Beryllium,emission,kilogram,water,,,
26e10723-d896-54ec-ab5b-5a4804d2f9ba,biosphere3,"Bicarbonate, ion",emission,kilogram,water,,,
0bb38d46-04e7-52f2-99de-5861a8220a49,biosphere3,Bisphenol A,emission,kilogram,water,,,
91955aba-6ebc-4413-9342-f0298860b4aa,biosphere3,"BOD5, Biological Oxygen Demand",emission,kilogram,water,BOD,tonnes,water
d493b514-f36d-482f-a978-63b5a1889bc2,biosphere3,Borate,emission,kilogram,water,,,
f19d8e53-09ab-45fa-a7c1-f7da101dab3e,biosphere3,Boric acid,emission,kilogram,air,,,
b8fc2875-a1ce-4a7c-a73d-6ba5b26319d3,biosphere3,Boron,emission,kilogram,air,,,
e3b7b5aa-514e-430e-9544-07d8f5b8d494,biosphere3,Boron,emission,kilogram,soil,,,
4a15cd40-96e6-4912-8298-c0fa8f9e2aee,biosphere3,Boron,emission,kilogram,water,,,
4c0d236e-e50f-409e-b84b-b053da3394fa,biosphere3,Boron carbide,emission,kilogram,air,,,
60b42f10-f538-4d77-ad4a-e83282f929e8,biosphere3,Boron carbide,emission,kilogram,water,,,
8e7d8523-2761-4eb1-a55a-958be4b0d23b,biosphere3,Boron trifluoride,emission,kilogram,air,,,
506fe866-1081-4152-a19d-b50825f99d83,biosphere3,Bromate,emission,kilogram,water,,,
72b26150-457e-47b6-a77c-987c2e76f704,biosphere3,Bromide,emission,kilogram,water,,,
c24f5894-f95e-4661-ba76-130397348894,biosphere3,Bromine,emission,kilogram,air,,,
45afb543-bc53-471e-8fc9-6ed3a5775071,biosphere3,Bromine,emission,kilogram,soil,,,
b935e766-fece-4a4f-8f60-b735ea7b214d,biosphere3,Bromine,emission,kilogram,water,,,
f2e4394f-61bb-5493-983d-d3d5b7b96a41,biosphere3,Bromopropane,emission,kilogram,air,,,
f918799d-98d3-5d5d-b02f-480b340d038c,biosphere3,Bromopropane,emission,kilogram,water,,,
5064da53-d4ec-44ee-ba23-b20a4f8c4964,biosphere3,Butadiene,emission,kilogram,air,"1,3 Butadiene",tonnes,air
982b0510-96ac-4bcb-a758-e98006b95f4d,biosphere3,Butane,emission,kilogram,air,,,
b9a9b2ad-5db3-47aa-81de-3a48ae9ad4ec,biosphere3,Butanol,emission,kilogram,air,,,
b50d8d03-7e88-4b29-9d10-67bbe01bdbc6,biosphere3,Butanol,emission,kilogram,water,,,
91f6386a-af2e-4bbb-a05c-62e4483b1bcf,biosphere3,Butene,emission,kilogram,air,,,
700969dc-4def-4093-98a0-adbb65771fcd,biosphere3,Butene,emission,kilogram,water,,,
7198aaf8-0acc-428d-8da0-558911e24f95,biosphere3,Butyl acetate,emission,kilogram,water,,,
da3d541f-0063-4ddf-9b0d-7ba7b8cb6ec7,biosphere3,Butyl acetate,emission,kilogram,air,,,
9c2e78e0-38d7-4eb7-a40f-31c7308b1dd6,biosphere3,Butyrolactone,emission,kilogram,water,,,
17ae628d-e769-4aa3-a20e-9f9bad222bf2,biosphere3,Butyrolactone,emission,kilogram,air,,,
12d6029e-3801-42ee-a1bc-1ebf936884fc,biosphere3,Cadmium,emission,kilogram,soil,Cd,tonnes,soil
1c5a7322-9261-4d59-a692-adde6c12de92,biosphere3,Cadmium,emission,kilogram,air,Cd,tonnes,air
2712fe5f-0d3c-4c8e-8bc4-26c604413849,biosphere3,"Cadmium, ion",emission,kilogram,water,,,
86ca2828-78b4-40f2-ad29-b80c4fd7a7d3,biosphere3,Cadmium-109,emission,kilo Becquerel,water,,,
b87016c6-ac91-4414-98ce-fb665e0a6d2e,biosphere3,Calcium,emission,kilogram,air,,,
e681e6ba-2d66-4f17-8812-e8c74bdcf7e8,biosphere3,Calcium,emission,kilogram,soil,,,
5c2957fe-5790-4bbe-a7f1-06be8e6fb89a,biosphere3,Calcium hydroxide,emission,kilogram,air,,,
08151735-9d1b-4b1c-a8b1-f341ade54f2f,biosphere3,"Calcium, ion",emission,kilogram,water,,,
14ea575b-5caa-4958-acf7-0bcc47f9cadf,biosphere3,Carbon,emission,kilogram,soil,,,
349b29d1-3e58-4c66-98b9-9d1a076efd2e,biosphere3,"Carbon dioxide, fossil",emission,kilogram,air,"Carbon dioxide, fossil",tonnes,air
